Observation period,TOA,Clear sky GHI,Clear sky BHI,Clear sky DHI,Clear sky BNI,GHI,BHI,DHI,BNI,Reliability
2013-05-01T00:00:00.0/2013-05-02T00:00:00.0,10273.0332,7545.5425,5956.7485,1588.7941,9231.9092,7192.0327,5733.1353,1458.8975,8796.8184,0.9771
2013-05-02T00:00:00.0/2013-05-03T00:00:00.0,10324.3672,7562.5654,5996.7627,1565.8025,9309.9697,7190.4629,5761.5298,1428.9777,8908.6045,0.9549
2013-05-03T00:00:00.0/2013-05-04T00:00:00.0,10374.8936,7466.4453,5618.8350,1847.6101,8583.2588,6804.9976,4624.8403,2180.1667,6808.0820,0.9056
2013-05-04T00:00:00.0/2013-05-05T00:00:00.0,10424.4922,7320.3164,5110.3774,2209.9392,7697.2739,5231.1060,2533.9158,2702.2056,3331.9287,0.9882
2013-05-05T00:00:00.0/2013-05-06T00:00:00.0,10473.1904,7811.6519,6517.3872,1294.2644,10213.1465,7347.8345,5767.1362,1580.7021,8730.3828,0.9875
2013-05-06T00:00:00.0/2013-05-07T00:00:00.0,10521.0176,7509.9966,5482.0635,2027.9330,8281.2559,6546.2852,3564.7812,2981.5889,5355.9922,0.9861
2013-05-07T00:00:00.0/2013-05-08T00:00:00.0,10567.9072,7762.8687,6116.1665,1646.7023,9344.4746,7286.6235,5613.7749,1672.8618,8086.2759,0.9229
2013-05-08T00:00:00.0/2013-05-09T00:00:00.0,10613.8691,7769.1162,5925.9604,1843.1558,8945.1865,7005.2754,4512.5415,2492.9104,6496.0630,0.9743
2013-05-09T00:00:00.0/2013-05-10T00:00:00.0,10658.9316,7719.0210,5566.3555,2152.6655,8320.1338,6567.8882,3294.8955,3272.9929,4728.4419,0.9840
2013-05-10T00:00:00.0/2013-05-11T00:00:00.0,10703.0605,8238.7578,6986.7158,1252.0417,10928.1143,7936.2388,6516.0903,1420.1482,9912.4297,0.9931
2013-05-11T00:00:00.0/2013-05-12T00:00:00.0,10746.2051,8430.2959,7499.0981,931.1982,11928.9795,8222.2969,7049.1772,1173.1191,10988.7578,0.9924
2013-05-12T00:00:00.0/2013-05-13T00:00:00.0,10788.3838,8240.2021,7157.4746,1082.7279,11189.9209,7935.9780,6640.5439,1295.4360,10022.9658,0.9917
2013-05-13T00:00:00.0/2013-05-14T00:00:00.0,10829.5889,7878.5474,6053.9409,1824.6066,9119.9541,7049.0879,4219.2559,2830.3875,6115.9858,0.9882
2013-05-14T00:00:00.0/2013-05-15T00:00:00.0,10869.8125,7940.8081,6084.9336,1855.8746,9265.1387,6431.7393,4241.9028,2193.5852,6255.6445,0.9903
2013-05-15T00:00:00.0/2013-05-16T00:00:00.0,10909.0459,8171.2700,6573.2671,1598.0028,10040.9414,7834.4233,6350.0674,1484.3712,9358.1953,0.9896
2013-05-16T00:00:00.0/2013-05-17T00:00:00.0,10947.2822,8201.4307,6779.2085,1422.2219,10391.3643,7644.6572,5579.7207,2064.9363,8171.5000,0.9889
2013-05-17T00:00:00.0/2013-05-18T00:00:00.0,10984.5791,7175.3057,4034.2766,3141.0291,5700.4961,5214.8091,2308.2905,2911.7671,2857.0156,0.9875
2013-05-18T00:00:00.0/2013-05-19T00:00:00.0,11020.8037,8106.4658,6392.2817,1714.1841,9565.3740,7603.3228,5737.9214,1865.4875,8530.5576,0.9451
2013-05-19T00:00:00.0/2013-05-20T00:00:00.0,11055.9756,8038.9741,6134.9644,1904.0098,9114.4785,7626.4771,5927.5825,1698.9482,8556.1484,0.9868
2013-05-20T00:00:00.0/2013-05-21T00:00:00.0,11090.1533,7281.6943,4022.9250,3258.7695,5661.7510,6633.6216,3828.3877,2805.5386,5481.8462,0.9340
2013-05-21T00:00:00.0/2013-05-22T00:00:00.0,11123.2969,8346.5146,6951.8364,1394.6786,10461.1758,8023.2236,6660.3828,1362.8550,9861.2373,0.9854
2013-05-22T00:00:00.0/2013-05-23T00:00:00.0,11155.3877,7570.2964,4654.2017,2916.0952,6641.7046,4089.0371,1990.3821,2101.3406,2678.9224,0.9326
2013-05-23T00:00:00.0/2013-05-24T00:00:00.0,11186.4434,7600.4404,4734.2700,2866.1704,6697.8335,5187.7300,2414.6423,2773.0876,3263.1182,0.9944
2013-05-24T00:00:00.0/2013-05-25T00:00:00.0,11216.4463,8232.5527,6334.9800,1897.5728,9403.1396,7510.6997,5229.7114,2284.5012,7499.9331,0.9937
2013-05-25T00:00:00.0/2013-05-26T00:00:00.0,11245.3867,8438.1670,6919.5801,1518.5869,10512.6582,6295.2734,3489.6235,2805.8279,5452.3633,0.9722
2013-05-26T00:00:00.0/2013-05-27T00:00:00.0,11273.2354,8417.1650,6726.3687,1690.7963,10049.0664,5267.1616,2459.7729,2807.4038,3634.1272,0.9701
2013-05-27T00:00:00.0/2013-05-28T00:00:00.0,11300.0508,8585.5869,7133.3838,1452.2037,10878.9629,7808.9756,5048.4116,2760.5640,7732.4360,0.9819
2013-05-28T00:00:00.0/2013-05-29T00:00:00.0,11325.7578,8384.7734,6620.6538,1764.1196,9910.1025,7643.6245,5081.1343,2562.4900,7436.1069,0.9889
2013-05-29T00:00:00.0/2013-05-30T00:00:00.0,11350.3838,6171.6685,1989.7727,4181.8960,2564.7930,4307.9175,1361.1097,2947.2686,1800.8524,0.9917
2013-05-30T00:00:00.0/2013-05-31T00:00:00.0,11373.9648,7665.7305,4758.3945,2907.3359,6751.2021,4760.2769,1607.9011,3152.6694,2104.0588,0.9910
2013-05-31T00:00:00.0/2013-06-01T00:00:00.0,11396.4453,8409.9180,6273.9385,2135.9797,9211.0889,5462.8252,2211.9128,3250.9580,3133.1069,0.9861
2013-06-01T00:00:00.0/2013-06-02T00:00:00.0,11417.8057,8640.3682,7272.3330,1368.0353,11112.7324,6509.4258,3570.4500,2939.5537,5573.6294,0.9903
2013-06-02T00:00:00.0/2013-06-03T00:00:00.0,11438.0889,8276.2979,5893.9312,2382.3662,8591.2090,5819.9697,2932.6379,2892.5334,4129.2461,0.9688
2013-06-03T00:00:00.0/2013-06-04T00:00:00.0,11457.2139,8550.8926,7022.3838,1528.5084,10548.4473,8205.7949,6744.9233,1460.8713,9911.4980,0.8854
2013-06-04T00:00:00.0/2013-06-05T00:00:00.0,11475.2861,8247.4141,5904.3901,2343.0242,8543.2227,7343.2915,4661.2651,2682.0264,6713.4248,0.9576
2013-06-05T00:00:00.0/2013-06-06T00:00:00.0,11492.2236,8388.2686,6372.6108,2015.6573,9349.6123,7812.5190,5994.1885,1818.3334,8412.0293,0.8979
