Observation period,TOA,Clear sky GHI,Clear sky BHI,Clear sky DHI,Clear sky BNI,GHI,BHI,DHI,BNI,Reliability
2013-04-28T00:00:00.0/2013-04-29T00:00:00.0,9900.3516,7123.6152,5555.7510,1567.8640,8946.4678,5773.8574,4051.5913,1722.3071,6230.4268,0.9826
2013-04-29T00:00:00.0/2013-04-30T00:00:00.0,9960.2500,7302.2173,5908.5059,1393.7115,9575.5488,6139.7017,4736.6084,1407.9758,6766.3975,0.9917
2013-04-30T00:00:00.0/2013-05-01T00:00:00.0,10019.3174,6831.9941,4453.8013,2378.1929,6942.9321,4220.4731,1606.3735,2615.5654,2963.3958,0.9903
2013-05-01T00:00:00.0/2013-05-02T00:00:00.0,10077.4395,6983.1792,4796.4575,2186.7217,7425.3447,5363.8687,2812.3442,2552.7373,4034.5703,0.9778
2013-05-02T00:00:00.0/2013-05-03T00:00:00.0,10134.7256,6946.8672,4547.4409,2399.4265,7012.8281,6072.0679,3777.4678,2295.0283,5286.7222,0.9535
2013-05-03T00:00:00.0/2013-05-04T00:00:00.0,10191.0439,7524.7808,5941.1240,1583.6570,9483.9434,7181.5229,5736.7798,1444.8345,9013.3389,0.9042
2013-05-04T00:00:00.0/2013-05-05T00:00:00.0,10246.4736,7274.1162,5299.2808,1974.8353,8284.0273,5659.1782,2962.9026,2696.4800,4268.1968,0.9812
2013-05-05T00:00:00.0/2013-05-06T00:00:00.0,10300.9844,7660.7510,6260.7861,1399.9651,10116.8857,3109.0791,453.6106,2665.3657,722.2657,0.9847
2013-05-06T00:00:00.0/2013-05-07T00:00:00.0,10354.5010,7615.1812,5939.2441,1675.9370,9459.0742,7144.6270,5453.2100,1691.6234,8439.6436,0.9840
2013-05-07T00:00:00.0/2013-05-08T00:00:00.0,10407.0615,7816.7749,6412.5742,1404.2007,10304.9844,7499.3159,6161.1655,1338.2921,9722.7617,0.9306
2013-05-08T00:00:00.0/2013-05-09T00:00:00.0,10458.6592,8054.1523,6892.2427,1161.9097,11250.5000,7795.2705,6566.6416,1228.6324,10473.4307,0.9819
2013-05-09T00:00:00.0/2013-05-10T00:00:00.0,10509.2256,8161.0723,7052.5107,1108.5618,11525.1768,7533.6533,5271.9595,2261.6938,8592.3477,0.9917
2013-05-10T00:00:00.0/2013-05-11T00:00:00.0,10558.8145,8154.8809,6938.2256,1216.6554,11218.1641,7912.8315,6668.4458,1244.3884,10579.4111,0.9903
2013-05-11T00:00:00.0/2013-05-12T00:00:00.0,10607.3809,8344.0439,7364.7568,979.2866,12102.3232,8123.0776,6917.6797,1205.4006,11086.8877,0.9896
2013-05-12T00:00:00.0/2013-05-13T00:00:00.0,10654.8818,8155.3398,6914.5000,1240.8401,11181.5615,7200.9995,5029.4316,2171.5691,8035.3857,0.9868
2013-05-13T00:00:00.0/2013-05-14T00:00:00.0,10701.3730,7967.0410,6499.7808,1467.2604,10365.4844,7084.9644,5256.9321,1828.0433,7694.5278,0.9847
2013-05-14T00:00:00.0/2013-05-15T00:00:00.0,10746.7646,7250.2046,4590.1562,2660.0481,6823.5166,3875.2358,896.1299,2983.4729,1286.8239,0.9833
2013-05-15T00:00:00.0/2013-05-16T00:00:00.0,10791.1162,7670.7520,5557.6079,2113.1440,8539.9717,2601.0100,477.2692,2128.7627,1164.6471,0.9861
2013-05-16T00:00:00.0/2013-05-17T00:00:00.0,10834.3838,8125.7803,6775.9185,1349.8618,10760.6934,6832.1694,4485.2964,2347.7964,7145.9902,0.9847
2013-05-17T00:00:00.0/2013-05-18T00:00:00.0,10876.5293,8099.7065,6516.6157,1583.0907,10200.8242,7232.4082,5031.0215,2201.3928,7656.6274,0.9840
2013-05-18T00:00:00.0/2013-05-19T00:00:00.0,10917.5635,7861.9976,5938.2656,1923.7318,9255.3701,5527.3809,2819.0837,2714.7290,4636.1851,0.9521
2013-05-19T00:00:00.0/2013-05-20T00:00:00.0,10957.5107,8341.7148,7235.1616,1106.5527,11598.8340,8040.1816,6778.5581,1261.6234,10601.5908,0.9931
2013-05-20T00:00:00.0/2013-05-21T00:00:00.0,10996.3047,7789.7852,5585.0464,2204.7388,8495.1230,5092.6973,3101.9814,1990.9861,4708.0977,0.9403
2013-05-21T00:00:00.0/2013-05-22T00:00:00.0,11033.9590,8324.0586,7117.2573,1206.8016,11303.3672,6973.1060,4416.8345,2556.2715,7025.8438,0.9917
2013-05-22T00:00:00.0/2013-05-23T00:00:00.0,11070.4492,7748.9883,5271.9531,2477.0356,7918.0288,3518.1741,1004.9765,2530.9092,1720.4125,0.9181
2013-05-23T00:00:00.0/2013-05-24T00:00:00.0,11105.7979,7548.9253,4758.8291,2790.0962,7031.1162,1831.2744,162.9092,1681.8719,256.3932,0.9896
2013-05-24T00:00:00.0/2013-05-25T00:00:00.0,11139.9805,8082.5889,6158.5557,1924.0332,9325.0146,7388.5791,5123.3315,2266.1880,7375.9863,0.9882
2013-05-25T00:00:00.0/2013-05-26T00:00:00.0,11172.9883,8452.3145,7148.3179,1303.9967,11289.2744,7307.2031,4796.2749,2510.9324,7488.7319,0.9660
2013-05-26T00:00:00.0/2013-05-27T00:00:00.0,11204.8135,8208.1084,6223.5645,1984.5439,9579.1113,5549.1626,2429.7725,3119.4214,3816.8362,0.9646
2013-05-27T00:00:00.0/2013-05-28T00:00:00.0,11235.4746,8529.8291,7159.0244,1370.8046,11051.7607,7469.6714,4421.0869,3049.0669,6371.1445,0.9729
