Observation period,TOA,Clear sky GHI,Clear sky BHI,Clear sky DHI,Clear sky BNI,GHI,BHI,DHI,BNI,Reliability
2013-05-13T00:00:00.0/2013-05-14T00:00:00.0,10737.9766,7727.2612,5838.7007,1888.5602,8972.4619,5620.0576,2463.3975,3156.6880,3545.3604,0.9868
2013-05-14T00:00:00.0/2013-05-15T00:00:00.0,10782.0078,7529.1084,5056.6240,2472.4846,7492.7007,2474.6760,169.5502,2315.4744,283.6533,0.9854
2013-05-15T00:00:00.0/2013-05-16T00:00:00.0,10824.9863,7599.6035,5257.9868,2341.6169,7966.0493,2396.7168,233.6847,2170.4460,367.7238,0.9847
2013-05-16T00:00:00.0/2013-05-17T00:00:00.0,10866.8799,8271.4082,7137.4746,1133.9336,11355.6709,7716.5830,6176.4482,1540.2852,9177.7393,0.9833
2013-05-17T00:00:00.0/2013-05-18T00:00:00.0,10907.6982,7451.7271,4728.6675,2723.0593,7119.4399,3777.5469,842.3041,2935.2429,1491.6403,0.9924
2013-05-18T00:00:00.0/2013-05-19T00:00:00.0,10947.4316,8278.7471,7043.8623,1234.8846,10961.6660,7169.4639,4598.7607,2570.7034,6923.7222,0.9493
2013-05-19T00:00:00.0/2013-05-20T00:00:00.0,10986.0723,8307.8525,7064.1504,1243.7024,10966.0840,7999.1484,6617.4458,1381.7026,10069.0693,0.9924
2013-05-20T00:00:00.0/2013-05-21T00:00:00.0,11023.6113,7481.2544,4569.2065,2912.0476,6812.8481,4806.1167,1841.8395,2964.2805,3216.2881,0.9396
2013-05-21T00:00:00.0/2013-05-22T00:00:00.0,11060.0693,8334.8926,7046.3623,1288.5305,10862.8066,5937.5688,2854.8606,3084.0972,4445.9399,0.9868
2013-05-22T00:00:00.0/2013-05-23T00:00:00.0,11095.3711,7658.5073,4983.3340,2675.1736,7333.9692,3942.1091,996.9753,2952.6885,1338.9594,0.9278
2013-05-23T00:00:00.0/2013-05-24T00:00:00.0,11129.5605,7524.8862,4672.5435,2852.3425,6773.2627,1844.7566,185.6848,1673.7842,293.7525,0.9896
2013-05-24T00:00:00.0/2013-05-25T00:00:00.0,11162.6143,8164.1621,6261.0806,1903.0818,9430.2656,5535.7432,2457.7095,3080.4006,3464.6880,0.9889
2013-05-25T00:00:00.0/2013-05-26T00:00:00.0,11194.5234,8408.6748,6846.9834,1561.6913,10603.9434,6797.8188,3616.1472,3183.8369,5623.0684,0.9674
2013-05-26T00:00:00.0/2013-05-27T00:00:00.0,11225.2803,8287.6309,6253.3691,2034.2616,9463.7275,4253.1646,1424.6530,2833.7285,2043.4161,0.9583
2013-05-27T00:00:00.0/2013-05-28T00:00:00.0,11254.8770,8349.3672,6501.4658,1847.9014,9815.6758,4696.9839,1404.4594,3293.1716,2082.8687,0.9764
2013-05-28T00:00:00.0/2013-05-29T00:00:00.0,11283.3037,8234.4512,6214.7666,2019.6848,9411.1094,3980.0044,996.2914,2994.6885,1522.8639,0.9861
2013-05-29T00:00:00.0/2013-05-30T00:00:00.0,11310.5352,6927.0234,3190.1758,3736.8479,4558.6182,5309.2979,1872.0415,3439.4292,2652.8491,0.9861
2013-05-30T00:00:00.0/2013-05-31T00:00:00.0,11336.6133,7433.8867,4232.3018,3201.5850,6033.3413,3926.2783,1078.9932,2849.9446,1529.7550,0.9847
2013-05-31T00:00:00.0/2013-06-01T00:00:00.0,11361.4971,8468.1855,6369.4502,2098.7356,9613.4600,6890.6089,3841.0955,3049.5132,5520.6646,0.9833
2013-06-01T00:00:00.0/2013-06-02T00:00:00.0,11385.1621,8599.8828,7221.3306,1378.5524,11038.3125,5807.9824,2631.3545,3176.6279,3912.5833,0.9937
2013-06-02T00:00:00.0/2013-06-03T00:00:00.0,11407.6260,8305.8145,6054.6030,2251.2119,8959.5010,7101.1064,3860.8674,3240.2390,5497.5347,0.9722
2013-06-03T00:00:00.0/2013-06-04T00:00:00.0,11428.8828,8394.2627,6450.5410,1943.7222,9691.3584,6026.1870,2484.7891,3541.7178,3599.9475,0.8875
2013-06-04T00:00:00.0/2013-06-05T00:00:00.0,11448.9570,8042.4019,5367.4424,2674.9597,7793.5200,4381.3311,1271.4393,3110.0415,1885.8022,0.9590
